Entry	Reviewed	Cofactor	EC number	Organism (ID)
A0A024B7W1	reviewed		2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	2043570
A0A096MJN4	reviewed			10116
A0A0G2JDV3	reviewed		3.6.5.-	10090
A0A0H3PJK4	reviewed			354242
A0A0U1RPR8	reviewed		4.6.1.2	10090
A0A142I5B9	reviewed		2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	2316109
A0A3Q0KDV9	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:24464615}; Note=Mg(2+) is essential for the GTP-binding, but GDP-binding does not require a metal cofactor. {ECO:0000269|PubMed:24464615};		6183
A0A4X1UM84	reviewed	COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:P35558}; Note=Binds 1 Mn(2+) ion per subunit. {ECO:0000250|UniProtKB:P35558};	2.7.11.-; 4.1.1.32	9823
A0A509APX1	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:Q8IDA0}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:Q8IDA0}; Note=Binds 2 magnesium ions per subunit (By similarity). Is also active with manganese (in vitro) (By similarity). {ECO:0000250|UniProtKB:P30803, ECO:0000250|UniProtKB:Q8IDA0};	4.6.1.2	5823
A1A4Y4	reviewed		3.6.5.-	9606
A1ACB2	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	405955
A1ZA55	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:34261127}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:34261127};	2.7.7.-	7227
A2A825	reviewed			10090
A2AQ07	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};		10090
A2RU49	reviewed		2.7.1.81	9606
A2T3S5	reviewed		2.1.1.56; 2.7.7.50; 3.1.4.-	450149
A3RM23	reviewed		2.1.1.375; 2.7.7.48; 2.7.7.88; 3.6.1.-	445790
A4D1E9	reviewed			9606
A4FV54	reviewed		3.6.5.2	9913
A5A6J1	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};	3.6.5.-	9598
A5IQA5	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	359786
A5U4N0	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:14594827};	2.7.1.20	419947
A6H7I5	reviewed		3.6.5.5	9913
A6NHL2	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};	3.6.5.-	9606
A6NNZ2	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};		9606
A6QEK3	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	426430
A6TZ28	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	359787
A7WYY0	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	418127
A7ZN88	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	331111
A8A1G6	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	331112
A8DYP7	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:A1ZA55}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:A1ZA55};	2.7.7.-; 2.7.7.86	7227
A8MTJ3	reviewed			9606
A8YZP8	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	451516
B0BNF1	reviewed			10116
B1IZU5	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	481805
B1LQP2	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	439855
B1Q257	reviewed		4.6.1.2	6239
B1X6B7	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	316385
B2IZD3	reviewed		3.6.5.5	63737
B2RSH2	reviewed			10090
B2TWL8	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	344609
B3FK34	reviewed		3.6.5.-	198110
B3GNI6	reviewed			10116
B3LF48	reviewed		3.6.5.2	3702
B3M185	reviewed		3.6.5.2	7217
B3NZR4	reviewed		3.6.5.2	7220
B4GFJ8	reviewed		3.6.5.2	7234
B4HKC7	reviewed		3.6.5.2	7238
B4PUP5	reviewed		3.6.5.2	7245
B5FYQ0	reviewed			59729
B5YSJ3	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	444450
B6I112	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	409438
B7L8Y4	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	585055
B7M3A5	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	585034
B7MCM0	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	585035
B7MWF3	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	585397
B7NBV8	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	585056
B7NRB5	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	585057
B7UX51	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	557722
B8GYI7	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_01454};	3.6.5.-	565050
B8GZM2	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:17697997}; Note=Binds 2 Mg(2+) per monomer. {ECO:0000269|PubMed:17697997};	2.7.7.65	565050
B9DGT7	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};	3.6.5.-	3702
B9DHQ0	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};	3.6.5.-	3702
C4ZQN7	reviewed		3.1.2.-; 3.5.1.-; 3.5.1.124	595496
C6KIE6	reviewed	COFACTOR: Name=Ca(2+); Xref=ChEBI:CHEBI:29108; Evidence={ECO:0000269|PubMed:22232549};		3702
C8VQY7	reviewed			227321
D2XV59	reviewed			10116
D3Z8L7	reviewed		3.6.5.-	10116
D3ZQL7	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:O94811};	3.6.5.-	10116
D4GSH7	reviewed			309800
E1BGN7	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:Q8C6L5}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:Q8C6L5}; Note=Binds 1 Mg(2+) per subunit. Is also active with Mn(2+). Mn(2+)-activated enyzme forms an inverted pppGp(2'-5')A intermediate, suggesting a non-canonical but accelerated 2',3'-cGAMP cyclization without substrate flip-over. Mn(2+) ions are coordinated by triphosphate moiety of the inverted substrate, independent of the catalytic triad residues. {ECO:0000250|UniProtKB:Q8C6L5}; COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250|UniProtKB:Q8C6L5}; Note=Undergoes a liquid-like phase transition after binding to DNA, which is dependent on zinc. {ECO:0000250|UniProtKB:Q8N884};	2.7.7.86	9913
E7EAU8	reviewed		4.6.1.2	6239
E9Q9D5	reviewed			10090
F1PTE3	reviewed			9615
F1QC45	reviewed			7955
F4HPR5	reviewed			3702
F4JHA2	reviewed		2.7.6.5	3702
G1UB61	reviewed			237561
G5EEE9	reviewed		4.6.1.2	6239
G5EFQ0	reviewed		4.6.1.2	6239
H2L002	reviewed		4.6.1.2	6239
H2L0N8	reviewed			6239
H9L427	reviewed		3.6.5.-	99287
I3LM39	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:23722159}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:Q8C6L5}; Note=Binds 1 Mg(2+) per subunit (PubMed:23722159). Is also active with Mn(2+). Mn(2+)-activated enyzme forms an inverted pppGp(2'-5')A intermediate, suggesting a non-canonical but accelerated 2',3'-cGAMP cyclization without substrate flip-over. Mn(2+) ions are coordinated by triphosphate moiety of the inverted substrate, independent of the catalytic triad residues (PubMed:23722159) (By similarity). {ECO:0000250|UniProtKB:Q8C6L5, ECO:0000269|PubMed:23722159}; COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250|UniProtKB:Q8C6L5}; Note=Undergoes a liquid-like phase transition after binding to DNA, which is dependent on zinc. {ECO:0000250|UniProtKB:Q8N884};	2.7.7.86	9823
K9N638	reviewed		2.7.7.50; 3.4.19.12; 3.4.22.-; 3.4.22.69	1263720
K9N7C7	reviewed	COFACTOR: [Uridylate-specific endoribonuclease nsp15]: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:P0C6X7}; Note=Likely affects Nsp15 binding to RNA. {ECO:0000250|UniProtKB:P0C6X7}; COFACTOR: [RNA-directed RNA polymerase nsp12]: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P0DTD1};	2.1.1.56; 2.1.1.57; 2.7.7.48; 2.7.7.50; 3.1.13.-; 3.4.19.12; 3.4.22.-; 3.6.4.12; 3.6.4.13; 4.6.1.-	1263720
M0RC99	reviewed		3.6.5.2	10116
N1NVB7	reviewed		4.6.1.2	6239
O00194	reviewed		3.6.5.2	9606
O00212	reviewed			9606
O00429	reviewed		3.6.5.5	9606
O00909	reviewed		3.6.5.2	44689
O01803	reviewed			6239
