Entry	Reviewed	Cofactor	EC number	Organism (ID)
A0A096P8D3	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:25724193, ECO:0000269|Ref.4}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:25724193}; Note=Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000269|Ref.4};	1.1.1.41	70448
A0A0E3T3B5	reviewed		1.2.1.-; 1.2.1.19	3750
A0A0E3T552	reviewed		1.2.1.-; 1.2.1.19	3750
A0A0G2JZ79	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250|UniProtKB:Q8IXJ6}; Note=Binds 1 zinc ion per subunit. {ECO:0000250|UniProtKB:Q8IXJ6};	2.3.1.-; 2.3.1.286	10116
A0A0H2US87	reviewed		4.3.99.-	623
A0A0H2V8B5	reviewed		3.2.2.-; 3.2.2.6	199310
A0A0H3LKL4	reviewed	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000269|PubMed:30810301}; Note=Binds 1 FAD molecule per subunit. {ECO:0000250|UniProtKB:Q88FY2};	1.14.13.114	257310
A0A1U8QK63	reviewed		1.3.1.9; 2.3.1.38; 2.3.1.39; 2.3.1.86; 3.1.2.14; 4.2.1.59	227321
A0A250YGJ5	reviewed		2.3.1.-; 2.3.1.286; 2.4.2.-	51338
A0A286R227	reviewed	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000269|PubMed:29371148}; Note=Binds 1 FAD (per monomer/chain). {ECO:0000269|PubMed:29371148}; COFACTOR: Name=Mo-molybdopterin; Xref=ChEBI:CHEBI:71302; Evidence={ECO:0000250|UniProtKB:P49050}; Note=Binds 1 Mo-molybdopterin (Mo-MPT) cofactor per subunit. {ECO:0000250|UniProtKB:P49050}; COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000305|PubMed:29371148}; Note=Binds 1 heme group. The heme group is called cytochrome b-557. {ECO:0000305};	1.7.1.1	3117
A0A2I7G3B0	reviewed		1.2.1.-; 1.2.1.5	118510
A0A2K5TU92	reviewed		2.3.1.-; 2.3.1.286; 2.4.2.-	9541
A0A2T5Y4G4	reviewed		3.2.2.5	1220575
A0A3Q8GL18	reviewed		1.1.1.419; 5.5.1.34	54731
A0QXD8	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250|UniProtKB:O58389}; Note=Binds 2 Zn(2+) ions per subunit. {ECO:0000250|UniProtKB:O58389};	1.1.1.-	246196
A0QYC2	reviewed		1.1.1.403	246196
A0R2N3	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000255|HAMAP-Rule:MF_01121}; Note=Binds 1 zinc ion per subunit. {ECO:0000255|HAMAP-Rule:MF_01121};	2.3.1.286	246196
A1A4Q9	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:Q96DE0}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:Q96DE0}; Name=Co(2+); Xref=ChEBI:CHEBI:48828; Evidence={ECO:0000250|UniProtKB:Q96DE0}; Note=Binds 3 or 4 divalent metal cations. Acts specifically on U8 snoRNA with magnesium as cofactor. Has broad substrate specificity with bound manganese or cobalt (in vitro). {ECO:0000250|UniProtKB:Q96DE0};	3.6.1.62; 3.6.1.64	9913
A1B8Z0	reviewed		1.4.1.-	318586
A1CP85	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	344612
A1D244	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	331117
A1TFU9	reviewed	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000269|PubMed:23760935};	1.14.13.113	350058
A2QAC0	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000269|PubMed:20414651}; Note=Binds 2 Zn(2+) ions per subunit. {ECO:0000269|PubMed:20414651};	1.1.1.12	425011
A3FKF7	reviewed		1.2.1.12; 2.6.99.-	9669
A3LSZ2	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	322104
A3MUY9	reviewed		1.4.1.2	410359
A4FUF0	reviewed			9913
A4QB65	reviewed		1.1.1.-; 1.1.1.24	340322
A4RD09	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	242507
A4STF2	reviewed		1.1.1.35; 4.2.1.17; 5.1.2.3; 5.3.3.8	382245
A5CAL1	reviewed		1.1.1.-; 1.1.1.26; 1.1.1.28; 1.1.1.79	29760
A5F5X0	reviewed	COFACTOR: Name=riboflavin; Xref=ChEBI:CHEBI:57986; Evidence={ECO:0000269|PubMed:20558724}; COFACTOR: Name=FMN; Xref=ChEBI:CHEBI:58210; Evidence={ECO:0000255|HAMAP-Rule:MF_00426, ECO:0000269|PubMed:11888296, ECO:0000269|PubMed:20558724, ECO:0000269|PubMed:22366169};	7.2.1.1	345073
A5F5Y4	reviewed	COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:190135; Evidence={ECO:0000255|HAMAP-Rule:MF_00430, ECO:0000269|PubMed:15379571}; Note=Binds 1 [2Fe-2S] cluster. {ECO:0000255|HAMAP-Rule:MF_00430, ECO:0000269|PubMed:15379571}; COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000255|HAMAP-Rule:MF_00430, ECO:0000269|PubMed:15379571};	7.2.1.1	345073
A5H2P4	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	379508
A5H2Q8	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	379508
A5JYX5	reviewed		1.1.1.1	6239
A5PJM4	reviewed	COFACTOR: Name=6-hydroxy-FAD; Xref=ChEBI:CHEBI:60470; Evidence={ECO:0000250|UniProtKB:Q9BRQ8}; Note=Binds 6-hydroxy-FAD non-covalently. {ECO:0000250|UniProtKB:Q9BRQ8};	1.6.5.-	9913
A6QLP2	reviewed	COFACTOR: Name=NAD(+); Xref=ChEBI:CHEBI:57540; Note=Binds 1 NAD(+) per subunit.;	3.13.2.1	9913
A6R8Q8	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	2059318
A6T923	reviewed	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000269|PubMed:19260710};	1.14.13.113	272620
A6ZY89	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	307796
A7F7H0	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	665079
A7IQH5	reviewed		1.1.1.269	78245
A7MAQ2	reviewed		1.6.5.4; 4.2.1.1	4673
A7RDN6	reviewed	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000250|UniProtKB:Q5VYX0};	1.6.3.5	10090
A8JQX3	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:Q9UK39}; Note=Binds 2 magnesium ions, but the ions are only loosely bound to the protein. {ECO:0000250|UniProtKB:Q9UK39};	3.1.3.-	7227
A8MS68	reviewed	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000250}; Note=Binds 1 FAD per subunit. {ECO:0000250};	1.8.1.4	3702
A8NMB4	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	240176
A8QCB2	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	425265
B0BNM1	reviewed	COFACTOR: Name=K(+); Xref=ChEBI:CHEBI:29103; Evidence={ECO:0000255|HAMAP-Rule:MF_03159}; Note=Binds 1 potassium ion per subunit. {ECO:0000255|HAMAP-Rule:MF_03159};	5.1.99.6	10116
B0D6H2	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	486041
B0M3E8	reviewed	COFACTOR: Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000250|UniProtKB:Q14376};	5.1.3.2; 5.1.3.5	3888
B0XRM8	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	451804
B2B223	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	515849
B2RZ55	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250|UniProtKB:Q9NXA8}; Note=Binds 1 zinc ion per subunit. {ECO:0000250|UniProtKB:Q9NXA8};	2.3.1.-; 2.3.1.286	10116
B3LGE9	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	285006
