Entry	Reviewed	Cofactor	EC number	Organism (ID)
A0A059TC02	reviewed		1.2.1.-; 1.2.1.44	4102
A0A075TRC0	reviewed		2.3.1.165	27334
A0A089QRB9	reviewed		2.3.1.252	83332
A0A0A1C3I2	reviewed		1.1.1.34	4054
A0A0A1C930	reviewed		1.1.1.34	4054
A0A0H2V8B5	reviewed		3.2.2.-; 3.2.2.6	199310
A0A1D8PPK1	reviewed	COFACTOR: Name=FMN; Xref=ChEBI:CHEBI:58210; Evidence={ECO:0000250|UniProtKB:Q02899};	1.6.99.1	237561
A0A1U8QK63	reviewed		1.3.1.9; 2.3.1.38; 2.3.1.39; 2.3.1.86; 3.1.2.14; 4.2.1.59	227321
A0A2I7G3B0	reviewed		1.2.1.-; 1.2.1.5	118510
A0A2U1LIM9	reviewed	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000255|HAMAP-Rule:MF_03212}; Note=Binds 1 FAD per monomer. {ECO:0000255|HAMAP-Rule:MF_03212}; COFACTOR: Name=FMN; Xref=ChEBI:CHEBI:58210; Evidence={ECO:0000255|HAMAP-Rule:MF_03212}; Note=Binds 1 FMN per monomer. {ECO:0000255|HAMAP-Rule:MF_03212};	1.6.2.4	35608
A0A7T9QPQ1	reviewed	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000255|HAMAP-Rule:MF_03212}; Note=Binds 1 FAD per monomer. {ECO:0000255|HAMAP-Rule:MF_03212}; COFACTOR: Name=FMN; Xref=ChEBI:CHEBI:58210; Evidence={ECO:0000255|HAMAP-Rule:MF_03212}; Note=Binds 1 FMN per monomer. {ECO:0000255|HAMAP-Rule:MF_03212};	1.14.19.-; 1.6.2.4	13216
