Entry	Reviewed	Cofactor	EC number	Organism (ID)
A0A024B7W1	reviewed		2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	2043570
A0A0H3KB22	reviewed	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000255|HAMAP-Rule:MF_00917, ECO:0000269|PubMed:24362703}; Note=Binds 1 [4Fe-4S] cluster. The cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000255|HAMAP-Rule:MF_00917, ECO:0000269|PubMed:24362703}; COFACTOR: Name=S-adenosyl-L-methionine; Xref=ChEBI:CHEBI:59789; Evidence={ECO:0000255|HAMAP-Rule:MF_00917, ECO:0000269|PubMed:24362703}; Note=Binds 1 S-adenosyl-L-methionine per subunit. {ECO:0000255|HAMAP-Rule:MF_00917, ECO:0000269|PubMed:24362703}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_00917, ECO:0000269|PubMed:24362703};	4.3.99.3	395019
A0A0H3PEK7	reviewed		2.1.1.226	354242
A0A0N9HMN6	reviewed		2.1.1.323	93608
A0A0N9HTA1	reviewed		2.1.1.330	93608
A0A0R4IKJ1	reviewed		2.1.1.62	7955
A0A0S2UWC9	reviewed	COFACTOR: Name=a divalent metal cation; Xref=ChEBI:CHEBI:60240; Evidence={ECO:0000250|UniProtKB:Q40313}; Note=Binds 1 divalent metal cation per subunit. {ECO:0000250|UniProtKB:Q40313};	2.1.1.-; 2.1.1.104	4102
A0A142I5B9	reviewed		2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	2316109
A0A163UT06	reviewed		2.1.1.-; 2.1.1.364	6239
A0A166U5H3	reviewed		2.1.1.69	312531
A0A172J1V3	reviewed		2.1.1.-	84531
A0A193KX02	reviewed		2.1.1.6	7955
A0A1C7D1B7	reviewed	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000269|PubMed:27455459}; Note=Binds 1 [4Fe-4S] cluster. The cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000250|UniProtKB:Q02908};	2.3.1.-	255470
A0A4P8DY91	reviewed		2.1.1.-; 2.1.1.69; 2.1.1.70	312531
A0R5M8	reviewed		2.1.1.44	246196
A1Y9I9	reviewed		2.1.1.6	10090
A2A935	reviewed		2.1.1.367	10090
A2AA28	reviewed		2.1.1.319	10090
A2AUU0	reviewed		2.1.1.-	10090
A2R6H1	reviewed	COFACTOR: Name=pantetheine 4'-phosphate; Xref=ChEBI:CHEBI:47942; Evidence={ECO:0000255}; Note=Binds 1 phosphopantetheine covalently. {ECO:0000255};	2.3.1.-	425011
A2T3S5	reviewed		2.1.1.56; 2.7.7.50; 3.1.4.-	450149
A3KPF2	reviewed		2.1.1.319	3702
A3RM23	reviewed		2.1.1.375; 2.7.7.48; 2.7.7.88; 3.6.1.-	445790
A4IHS0	reviewed		2.1.1.-; 2.1.1.218; 2.1.1.221	8364
A4X3Q0	reviewed		2.5.1.94	369723
A6H5Y3	reviewed	COFACTOR: Name=methylcob(III)alamin; Xref=ChEBI:CHEBI:28115; Evidence={ECO:0000250|UniProtKB:P13009}; COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250|UniProtKB:P13009}; Note=Binds 1 zinc ion per subunit. {ECO:0000250|UniProtKB:P13009};	2.1.1.13	10090
A6H630	reviewed	COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:Q04371}; Name=Ni(2+); Xref=ChEBI:CHEBI:49786; Evidence={ECO:0000250|UniProtKB:Q04371};	2.1.1.-; 3.1.3.-	10090
A6NJ78	reviewed		2.1.1.-	9606
A7MBI7	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P22734}; Note=Binds 1 Mg(2+) ion per subunit. {ECO:0000250|UniProtKB:P22734};	2.1.1.6	9913
A7YW45	reviewed		2.1.1.320	9913
A8C927	reviewed		2.1.1.180	562
A8MUP2	reviewed		2.1.1.-	9606
A8QW53	reviewed		2.1.1.n7	4558
A9X1D0	reviewed		2.1.1.85	9555
B0EXJ8	reviewed		2.1.1.94	4058
B0F481	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:22547782}; COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000269|PubMed:22547782};	2.6.1.62; 6.3.3.3	3702
B0ZB55	reviewed		2.1.1.338	3486
B0ZB56	reviewed		2.1.1.154; 2.1.1.338; 2.1.1.339	3486
B1Q3J6	reviewed		2.1.1.37	39947
B2KPR3	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:Q9FLN8}; Note=Binds 1 Mg(2+) ion per subunit. {ECO:0000250|UniProtKB:Q9FLN8};	2.1.1.50	4058
B3DLB3	reviewed		2.1.1.319	8364
B3GSH5	reviewed		2.1.1.4	10116
B7UI22	reviewed		2.1.1.-	574521
C5H431	reviewed		2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	164416
C7AE94	reviewed	COFACTOR: Name=a divalent metal cation; Xref=ChEBI:CHEBI:60240; Evidence={ECO:0000269|PubMed:19525322, ECO:0000269|PubMed:20580386};	2.1.1.267	29760
C8VQG9	reviewed		2.1.1.-	227321
C8XPA8	reviewed		2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	38837
C8XPB2	reviewed		2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	64296
D1FVF0	reviewed		2.1.1.-; 6.1.2.-	176275
D3KU66	reviewed		2.1.1.4	10090
D3YWP0	reviewed		2.1.1.-	10090
D5VRB9	reviewed	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Note=Binds 1 [4Fe-4S] cluster. The cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000250|UniProtKB:Q02908};	2.3.1.-	573063
D7RF80	reviewed		2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	33743
D9IVE5	reviewed		2.1.1.319	8355
E9PYH6	reviewed		2.1.1.364	10090
E9Q3T6	reviewed		2.1.1.-	10090
E9Q5F9	reviewed		2.1.1.-; 2.1.1.359	10090
F1DBA9	reviewed		2.3.1.-	5074
F1R777	reviewed		2.1.1.348	7955
F1RET2	reviewed		2.1.1.372	7955
F4JNX3	reviewed		2.1.1.60	3702
F4JUY5	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Note=Binds 1 Mg(2+) ion per subunit. {ECO:0000250};	2.1.1.275	3702
F4K1J4	reviewed		2.1.1.354; 2.1.1.357	3702
